created_at,client_ts,event_type,participant_identity,role,show_id,uplinkBps,availableOutgoingBitrate,targetBitrate,framesEncodedDelta,framesSentDelta,framesNotSent,fps,sourceFps,avgQp,qualityLimitationReason,rid,activeLayers,layerCount,width,height,sourceWidth,sourceHeight,encoder,keyFramesEncoded,nackCount,pliCount,firCount,packetsLost,jitter,rttSec,retransmittedBytesSent,from,to,reason,quality,source,sid,label,extra
2026-08-29T13:01:52.89129+00:00,2026-08-29T13:01:51.612+00:00,pub_stats,,a,show-tjtd0pyo,2831704,6842405,3000000,60,60,0,30,31,55.5,none,f,f+h+q,3,1080,1920,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",3,0,2,0,0,0.0028439999999999997,0.023,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":39.615,""other"":0,""bandwidth"":6.855}}"
2026-08-29T13:01:52.89129+00:00,2026-08-29T13:01:52.112+00:00,track_liveness_snapshot,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""camfeed-a-side-6fe87d7e:TR_VCuoLT3hj7m2hU"",""frames"":1170,""reason"":null,""staleSec"":1,""probation"":false},{""key"":""contestant-a-1acd21e5:TR_VCicjrBWA6z7B5"",""frames"":null,""reason"":null,""staleSec"":47,""probation"":false}],""trackCount"":2,""ineligibleCount"":0}"
2026-08-29T13:01:54.774596+00:00,2026-08-29T13:01:53.612+00:00,pub_stats,,a,show-tjtd0pyo,3257748,6948988,2830868,60,60,0,30,31,42.4,none,f,f+h+q,3,1080,1920,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",3,0,2,0,0,0.002777,0.023,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":41.615,""other"":0,""bandwidth"":6.855}}"
2026-08-29T13:01:54.774596+00:00,2026-08-29T13:01:53.612+00:00,director_heartbeat,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""running""}"
2026-08-29T13:01:54.774596+00:00,2026-08-29T13:01:53.803+00:00,mic_level_sample,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""deviceId"":""5b8b2f492772aa20662144914e6d9d65231413d5c350599407d783ad40550683"",""inputRms"":0.009696268007806357,""outputRms"":0.1920516606216036,""deviceLabel"":""MacBook Air Microphone (Built-in)"",""audioContextState"":""running""}"
2026-08-29T13:01:56.783555+00:00,2026-08-29T13:01:55.612+00:00,pub_stats,,a,show-tjtd0pyo,2690648,7024333,3000000,60,60,0,30,31,48.42,none,f,f+h+q,3,1080,1920,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",3,0,2,0,0,0.0025,0.025,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":43.614,""other"":0,""bandwidth"":6.855}}"
2026-08-29T13:01:58.748785+00:00,2026-08-29T13:01:57.611+00:00,track_liveness_snapshot,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""camfeed-a-side-6fe87d7e:TR_VCuoLT3hj7m2hU"",""frames"":1270,""reason"":null,""staleSec"":1,""probation"":false},{""key"":""contestant-a-1acd21e5:TR_VCicjrBWA6z7B5"",""frames"":null,""reason"":null,""staleSec"":52,""probation"":false}],""trackCount"":2,""ineligibleCount"":0}"
2026-08-29T13:01:58.748785+00:00,2026-08-29T13:01:57.611+00:00,pub_stats,,a,show-tjtd0pyo,3029491,7024333,3000000,60,60,0,30,31,34.3,none,f,f+h+q,3,1080,1920,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",3,0,2,0,0,0.0016439999999999998,0.023,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":45.614,""other"":0,""bandwidth"":6.855}}"
2026-08-29T13:01:58.748785+00:00,2026-08-29T13:01:57.805+00:00,director_shot_emitted,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""shot"":""mediumCU"",""slot"":""a"",""sourceRole"":""main"",""decisionSource"":""auto"",""targetIdentity"":""contestant-a-1acd21e5""}"
2026-08-29T13:01:58.748785+00:00,2026-08-29T13:01:57.805+00:00,shot_publish_success,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""shot"":""mediumCU"",""slot"":""a"",""commandId"":""d9c10d24-2d29-4cad-857a-5739c2a8a2ee"",""decisionSource"":""auto"",""connectionState"":""connected""}"
2026-08-29T13:01:59.975943+00:00,2026-08-29T13:01:58.803+00:00,mic_level_sample,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""deviceId"":""5b8b2f492772aa20662144914e6d9d65231413d5c350599407d783ad40550683"",""inputRms"":0.04594721698826043,""outputRms"":0.04594721698826043,""deviceLabel"":""MacBook Air Microphone (Built-in)"",""audioContextState"":""running""}"
2026-08-29T13:02:00.965944+00:00,2026-08-29T13:01:59.612+00:00,pub_stats,,a,show-tjtd0pyo,2992944,7024333,2926617,59,59,0,29,31,41.49,none,f,f+h+q,3,1080,1920,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",3,0,2,0,0,0.001611,0.024,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":47.614,""other"":0,""bandwidth"":6.855}}"
2026-08-29T13:02:03.000367+00:00,2026-08-29T13:02:01.611+00:00,pub_stats,,a,show-tjtd0pyo,2942967,7024333,2982177,60,60,0,29,31,39.97,none,f,f+h+q,3,1080,1920,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",3,0,2,0,0,0.0019329999999999998,0.024,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":49.614,""other"":0,""bandwidth"":6.855}}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:02.612+00:00,track_liveness_snapshot,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""camfeed-a-side-6fe87d7e:TR_VCuoLT3hj7m2hU"",""frames"":1374,""reason"":null,""staleSec"":1,""probation"":false},{""key"":""contestant-a-1acd21e5:TR_VCicjrBWA6z7B5"",""frames"":null,""reason"":null,""staleSec"":57,""probation"":false}],""trackCount"":2,""ineligibleCount"":0}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.367+00:00,pub_track_unpublished,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,TR_AMVkLXLGiVCeDs,,
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.367+00:00,pub_track_muted,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,TR_AM72JwYPC6qnwq,,
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.367+00:00,director_loop_stopped,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,show_ended,,,,,
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.367+00:00,track_local_unpublished,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,,,"{""kind"":""audio"",""trackSid"":""TR_AMVkLXLGiVCeDs"",""participantIdentity"":""contestant-a-1acd21e5""}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.367+00:00,track_muted,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,,,"{""kind"":""audio"",""trackSid"":""TR_AM72JwYPC6qnwq"",""participantIdentity"":""contestant-a-1acd21e5""}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.434+00:00,audio_stopped_on_show_end,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hadPublication"":true}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.462+00:00,pub_track_unpublished,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,TR_VCicjrBWA6z7B5,,
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.462+00:00,track_local_unpublished,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,,,"{""kind"":""video"",""trackSid"":""TR_VCicjrBWA6z7B5"",""participantIdentity"":""contestant-a-1acd21e5""}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.47+00:00,shot_reselect,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,contestant-a-1acd21e5:TR_VCicjrBWA6z7B5,camfeed-a-side-6fe87d7e:TR_VCuoLT3hj7m2hU,displayed_track_gone,,,,,
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.481+00:00,track_liveness_impaired,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_subscribed,,,,,"{""key"":""camfeed-a-side-6fe87d7e:TR_VCuoLT3hj7m2hU"",""identity"":""camfeed-a-side-6fe87d7e""}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.481+00:00,track_liveness_impaired,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absent,,,,,"{""key"":""contestant-a-1acd21e5:TR_VCicjrBWA6z7B5"",""identity"":""contestant-a-1acd21e5""}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.481+00:00,track_liveness_blacklist_changed,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""keys"":[""contestant-a-1acd21e5:TR_VCicjrBWA6z7B5""],""count"":1}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.481+00:00,track_unsubscribed,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,,,"{""kind"":""video"",""trackSid"":""TR_VCuoLT3hj7m2hU"",""participantIdentity"":""camfeed-a-side-6fe87d7e""}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.481+00:00,track_unpublished,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camera,,,"{""kind"":""video"",""trackSid"":""TR_VCuoLT3hj7m2hU"",""participantIdentity"":""camfeed-a-side-6fe87d7e""}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.481+00:00,track_liveness_blacklist_changed,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""keys"":[""camfeed-a-side-6fe87d7e:TR_VCuoLT3hj7m2hU"",""contestant-a-1acd21e5:TR_VCicjrBWA6z7B5""],""count"":2}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.529+00:00,audio_host_released,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,show_ended,,,,,
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.529+00:00,deck_track_adopted,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,host,,,"{""hadPlayer"":false,""trackHash"":null}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.529+00:00,local_devices_released,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,show_ended,,,,,"{""role"":""a"",""hadCamera"":true}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.529+00:00,video_stopped_on_show_end,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hadPublication"":true}"
2026-08-29T13:02:03.778749+00:00,2026-08-29T13:02:03.529+00:00,audiocontext_statechange,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""closed""}"
2026-08-29T13:02:04.757329+00:00,2026-08-29T13:02:03.611+00:00,track_liveness_impairment_changed,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,not_subscribed,absent,,,,,,"{""key"":""camfeed-a-side-6fe87d7e:TR_VCuoLT3hj7m2hU"",""identity"":""camfeed-a-side-6fe87d7e""}"
2026-08-29T13:02:04.757329+00:00,2026-08-29T13:02:03.611+00:00,track_liveness_snapshot,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""camfeed-a-side-6fe87d7e:TR_VCuoLT3hj7m2hU"",""frames"":1398,""reason"":""absent"",""staleSec"":1,""probation"":false},{""key"":""contestant-a-1acd21e5:TR_VCicjrBWA6z7B5"",""frames"":null,""reason"":""absent"",""staleSec"":58,""probation"":false}],""trackCount"":0,""ineligibleCount"":2}"
2026-08-29T13:02:04.757329+00:00,2026-08-29T13:02:03.612+00:00,director_heartbeat,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""off""}"
2026-08-29T13:02:04.757329+00:00,2026-08-29T13:02:03.803+00:00,mic_level_sample,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""deviceId"":null,""inputRms"":0.00010376986763311588,""outputRms"":0.00010376986763311588,""deviceLabel"":null,""audioContextState"":null}"
2026-08-29T13:02:04.757329+00:00,2026-08-29T13:02:04.077+00:00,egress_command_ok,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""room"":""show-tjtd0pyo"",""count"":0,""action"":""stop""}"
2026-08-29T13:02:05.7219+00:00,2026-08-29T13:02:05.132+00:00,audio_host_released,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave,,,,,
2026-08-29T13:02:05.7219+00:00,2026-08-29T13:02:05.132+00:00,local_devices_released,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leave,,,,,
2026-08-29T13:02:05.7219+00:00,2026-08-29T13:02:05.135+00:00,wake_lock_released_by_system,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live:a,
2026-08-29T13:02:05.7219+00:00,2026-08-29T13:02:05.135+00:00,wake_lock_released,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live:a,"{""cause"":""role_ended""}"
2026-08-29T13:02:05.7219+00:00,2026-08-29T13:02:05.135+00:00,director_loop_stopped,,a,show-tjtd0pyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmount,,,,,
