created_at,client_ts,event_type,participant_identity,role,show_id,uplinkBps,availableOutgoingBitrate,targetBitrate,framesEncodedDelta,framesSentDelta,framesNotSent,fps,sourceFps,avgQp,qualityLimitationReason,rid,activeLayers,layerCount,width,height,sourceWidth,sourceHeight,encoder,keyFramesEncoded,nackCount,pliCount,firCount,packetsLost,jitter,rttSec,retransmittedBytesSent,from,to,reason,quality,source,sid,label,extra
2026-08-28T19:34:17.544947+00:00,2026-08-28T19:34:17.265+00:00,shot_publish_success,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""shot"":""wide"",""slot"":""a"",""commandId"":""cb1a2fe3-318d-4135-ae04-5cc9fec39e16"",""decisionSource"":""cue"",""connectionState"":""connected""}"
2026-08-28T19:34:17.544947+00:00,2026-08-28T19:34:17.265+00:00,cue_fired,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""shot"":""wide"",""clipId"":null,""sheetId"":6,""slotRole"":""close"",""timestampMs"":31231,""resolvedTarget"":""camfeed-a-close-883f2976""}"
2026-08-28T19:34:18.52872+00:00,2026-08-28T19:34:17.386+00:00,pub_stats,,a,show-qfstpj50,1289784,2573360,1834893,59,59,0,30,31,82.56,none,f,f+h+q,3,1080,1920,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",34,0,15,0,0,0.0008659999999999999,0.024,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":1488.02,""other"":0,""bandwidth"":24.389}}"
2026-08-28T19:34:19.603734+00:00,2026-08-28T19:34:18.654+00:00,mic_level_sample,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""deviceId"":""39fae2b7de1ac0ad5463a5ba3dd688ee748a5433d1272fa9afbea3233dae361b"",""inputRms"":0.01029648929416908,""outputRms"":0.05518190330445425,""deviceLabel"":""MacBook Air Microphone (Built-in)"",""audioContextState"":""running""}"
2026-08-28T19:34:19.603734+00:00,2026-08-28T19:34:18.8+00:00,visibility_visible,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""audioContextState"":""running""}"
2026-08-28T19:34:19.603734+00:00,2026-08-28T19:34:18.802+00:00,window_focus,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28T19:34:19.603734+00:00,2026-08-28T19:34:18.806+00:00,wake_lock_acquired,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live:a,
2026-08-28T19:34:19.603734+00:00,2026-08-28T19:34:19.385+00:00,track_liveness_snapshot,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""contestant-a-297a1aba:TR_VCiazSiwiK3Qco"",""frames"":null,""reason"":null,""staleSec"":1514,""probation"":false},{""key"":""camfeed-a-side-85a03b34:TR_VC6cRdqSsicRiY"",""frames"":10787,""reason"":null,""staleSec"":1,""probation"":false},{""key"":""camfeed-a-close-883f2976:TR_VCToTYNatDX5PC"",""frames"":7769,""reason"":null,""staleSec"":1,""probation"":false}],""trackCount"":3,""ineligibleCount"":0}"
2026-08-28T19:34:20.713619+00:00,2026-08-28T19:34:19.386+00:00,pub_stats,,a,show-qfstpj50,1941040,3054316,2102272,60,60,0,29,31,57.78,none,f,f+h+q,3,1080,1920,1080,1920,"SimulcastEncoderAdapter (libvpx, libvpx, libvpx)",34,0,15,0,0,0.000544,0.022,0,,,,,,,live:a,"{""qualityLimitationDurations"":{""cpu"":0,""none"":1490.02,""other"":0,""bandwidth"":24.389}}"
2026-08-28T19:34:21.947448+00:00,2026-08-28T19:34:20.906+00:00,track_liveness_snapshot,,viewer,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""entries"":[{""key"":""contestant-a-297a1aba:TR_VCiazSiwiK3Qco"",""frames"":5304,""reason"":null,""staleSec"":0,""probation"":false},{""key"":""camfeed-a-side-85a03b34:TR_VC6cRdqSsicRiY"",""frames"":5116,""reason"":null,""staleSec"":0,""probation"":false},{""key"":""camfeed-a-close-883f2976:TR_VCToTYNatDX5PC"",""frames"":5854,""reason"":null,""staleSec"":0,""probation"":false}],""trackCount"":3,""ineligibleCount"":0}"
