created_at,client_ts,event_type,participant_identity,role,show_id,uplinkBps,availableOutgoingBitrate,targetBitrate,framesEncodedDelta,framesSentDelta,framesNotSent,fps,sourceFps,avgQp,qualityLimitationReason,rid,activeLayers,layerCount,width,height,sourceWidth,sourceHeight,encoder,keyFramesEncoded,nackCount,pliCount,firCount,packetsLost,jitter,rttSec,retransmittedBytesSent,from,to,reason,quality,source,sid,label,extra
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.558+00:00,room_state_at_mount,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""disconnected"",""transport"":{""pcState"":""new"",""signalWs"":null,""available"":true,""roomState"":""disconnected"",""hasPcManager"":false,""publisherIce"":null,""subscriberIce"":null,""verifyTransport"":false,""pcTransportState"":null,""publisherPromiseSet"":false,""publisherIceConnected"":null}}"
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.561+00:00,room_connection_state_changed,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connecting""}"
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.619+00:00,wake_lock_acquired,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live:a,
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.723+00:00,ensure_audio_published,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""action"":""skipped_no_handle"",""trigger"":""signal_connected"",""transport"":{""pcState"":""new"",""signalWs"":""open"",""available"":true,""roomState"":""connecting"",""hasPcManager"":true,""publisherIce"":""new"",""subscriberIce"":null,""verifyTransport"":false,""pcTransportState"":0,""publisherPromiseSet"":false,""publisherIceConnected"":false}}"
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.723+00:00,signal_connected,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""transport"":{""pcState"":""new"",""signalWs"":""open"",""available"":true,""roomState"":""connecting"",""hasPcManager"":true,""publisherIce"":""new"",""subscriberIce"":null,""verifyTransport"":false,""pcTransportState"":0,""publisherPromiseSet"":false,""publisherIceConnected"":false},""occurrence"":1}"
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.799+00:00,audio_publish_attempt,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.8+00:00,audiocontext_statechange,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""running""}"
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.836+00:00,session_state_subscribed,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""showId"":""0ada2c0a-56dd-419d-97f9-80d3d41f52f9""}"
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.861+00:00,audio_publish_success,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""durationMs"":62}"
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.861+00:00,track_local_published,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,,,"{""kind"":""audio"",""trackSid"":""TR_AMjxf4zLXyQAXM"",""participantIdentity"":""contestant-a-bbe185c8""}"
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.861+00:00,pub_track_published,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microphone,TR_AMjxf4zLXyQAXM,,
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.877+00:00,room_connection_state_changed,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connected""}"
2026-08-28T19:04:59.955543+00:00,2026-08-28T19:04:58.877+00:00,room_connected,,a,show-qfstpj50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""state"":""connected"",""transport"":{""pcState"":""connected"",""signalWs"":""open"",""available"":true,""roomState"":""connected"",""hasPcManager"":true,""publisherIce"":""connected"",""subscriberIce"":null,""verifyTransport"":true,""pcTransportState"":2,""publisherPromiseSet"":false,""publisherIceConnected"":true}}"
